"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/21/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/22/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/23/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/24/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/25/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/26/2023","AQS","410510080","1","0.2","ppm","2","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/27/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/28/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","5","21.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/29/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","16","67.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
"05/30/2023","AQS","410510080","1","0.1","ppm","1","Portland - SE Lafayette","24","100.0000","42101","Carbon monoxide","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","051","Multnomah","45.496641","-122.602877"
