Date,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,CBSA_NAME
2022-03-11,12.6,52,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-12,7.8,33,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-13,2.7,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-14,4.2,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-15,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-16,4.3,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-17,8.7,36,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-18,2.5,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-19,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-20,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-21,2.5,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-22,1.1,5,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-23,5.2,22,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-24,2.1,9,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-25,4.8,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-26,5.6,23,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-27,8.8,37,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-28,3.4,14,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-29,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-30,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-03-31,3.9,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-01,4.9,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-02,5.1,21,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-03,5.7,24,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-04,3.2,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-05,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-06,6.4,27,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-07,6.7,28,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-08,3,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-09,2.5,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-10,1.7,7,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-11,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-12,3.6,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-13,2,8,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-14,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-15,3.1,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-16,4,17,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-17,2.9,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-18,2.7,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-19,2.3,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-20,1.8,8,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-21,4.3,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-22,4.7,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-23,4.8,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-24,6.4,27,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-25,6.8,28,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-26,3.3,14,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-27,2.3,10,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-28,3.7,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-29,2.7,11,"Portland-Vancouver-Hillsboro, OR-WA"
2022-04-30,3.4,14,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-01,6,25,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-02,2.2,9,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-11,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-12,3.2,13,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-13,5,21,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-14,1.8,8,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-15,3.5,15,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-16,1.9,8,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-17,4.4,18,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-18,4.7,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-19,2.8,12,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-20,3.8,16,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-21,4.8,20,"Portland-Vancouver-Hillsboro, OR-WA"
2022-05-22,5.7,24,"Portland-Vancouver-Hillsboro, OR-WA"
